epoch,IoU,auc,binaryCE,dice_coef,dice_loss,loss,pr_auc,precision,recall,val_IoU,val_auc,val_binaryCE,val_dice_coef,val_dice_loss,val_loss,val_pr_auc,val_precision,val_recall,val_weighted_bce,weighted_bce
62,0.7481613755226135,0.9941496849060059,0.031986650079488754,0.8164170384407043,0.18358342349529266,0.20221148431301117,0.8932266235351562,0.8997913599014282,0.934973955154419,0.7530220150947571,0.9937384128570557,0.02363511547446251,0.8179090619087219,0.18209080398082733,0.27901336550712585,0.872056782245636,0.871993899345398,0.9357753396034241,0.5678561925888062,0.25809603929519653
63,0.671410083770752,0.9931931495666504,0.046948183327913284,0.7460592985153198,0.25394079089164734,0.24209630489349365,0.8517783284187317,0.8477737903594971,0.9372299313545227,0.7417113184928894,0.9896718859672546,0.03334532305598259,0.8127341270446777,0.18726611137390137,0.20747718214988708,0.8522630333900452,0.8460168242454529,0.9475369453430176,0.26684170961380005,0.20656339824199677
64,0.6895391345024109,0.992847204208374,0.03622737154364586,0.7589256167411804,0.24107414484024048,0.22217868268489838,0.8782270550727844,0.87916499376297,0.9347430467605591,0.7462273240089417,0.9907757639884949,0.03963250294327736,0.8160461783409119,0.1839538961648941,0.20917178690433502,0.8538574576377869,0.8587186336517334,0.9419459104537964,0.2838689684867859,0.16549170017242432
65,0.7503463625907898,0.9961713552474976,0.01803729496896267,0.820791482925415,0.1792086362838745,0.17552590370178223,0.8972225189208984,0.8980123400688171,0.9383021593093872,0.759045422077179,0.9923825860023499,0.027942050248384476,0.8259007930755615,0.1740993708372116,0.22376985847949982,0.8759152293205261,0.8804508447647095,0.934671938419342,0.3714977502822876,0.1644783914089203
66,0.7353495359420776,0.9946385622024536,0.018486173823475838,0.8038812279701233,0.19611860811710358,0.20659108459949493,0.8949524164199829,0.9015606045722961,0.9331590533256531,0.7564931511878967,0.9785609245300293,0.055826585739851,0.8232289552688599,0.17677101492881775,0.2727401852607727,0.8482282757759094,0.8728912472724915,0.9232484102249146,0.5592687129974365,0.2380082756280899
67,0.7676988840103149,0.9954202175140381,0.02230193093419075,0.8391278386116028,0.16087208688259125,0.17155224084854126,0.9017812609672546,0.9021379947662354,0.937848687171936,0.7593197226524353,0.9937610030174255,0.019656112417578697,0.8277397155761719,0.1722598522901535,0.19014932215213776,0.8741707801818848,0.875173032283783,0.9372687339782715,0.2427530735731125,0.203593447804451
68,0.7597766518592834,0.9955712556838989,0.018221335485577583,0.830554723739624,0.16944505274295807,0.18249017000198364,0.9019661545753479,0.9037674069404602,0.9392335414886475,0.7188814878463745,0.9936994314193726,0.012873790226876736,0.7889133095741272,0.2110869288444519,0.2156582921743393,0.8820955157279968,0.880620002746582,0.9271602630615234,0.22812245786190033,0.22162599861621857
69,0.7371112108230591,0.996274471282959,0.014095908030867577,0.8089503645896912,0.19104942679405212,0.18097807466983795,0.8983822464942932,0.9002915620803833,0.9366357922554016,0.7526110410690308,0.9894705414772034,0.03047204203903675,0.8194409608840942,0.18055933713912964,0.23648449778556824,0.8822767734527588,0.9034121632575989,0.9087450504302979,0.4028012156486511,0.15076372027397156
70,0.735130786895752,0.9948150515556335,0.017132490873336792,0.8060287237167358,0.19397135078907013,0.1921796202659607,0.8876976370811462,0.8904978036880493,0.9379586577415466,0.748462438583374,0.9901810884475708,0.027821045368909836,0.8153843879699707,0.1846158653497696,0.22235222160816193,0.8754647970199585,0.8805345892906189,0.9285979866981506,0.3342267572879791,0.18680396676063538
71,0.7667643427848816,0.994985818862915,0.015048968605697155,0.834520697593689,0.16547894477844238,0.17460888624191284,0.9071255326271057,0.909226655960083,0.9391860961914062,0.7536635398864746,0.9899244904518127,0.0369659923017025,0.8238049149513245,0.1761952042579651,0.2190394550561905,0.8746000528335571,0.8591853976249695,0.9476670026779175,0.34625962376594543,0.20199890434741974
